Date,Open,High,Low,Close,Volume
10/05/2022,"81.60","84.90","81.00","84.80","105,455,508"
10/04/2022,"79.30","81.45","78.20","80.80","105,490,398"
10/03/2022,"71.50","77.65","71.30","77.65","92,281,633"
09/30/2022,"68.65","70.60","67.90","70.60","49,906,059"
09/29/2022,"69.45","70.55","65.05","68.60","64,316,281"
09/28/2022,"70.70","71.20","68.90","68.95","43,766,102"
09/27/2022,"69.95","72.15","69.55","71.00","68,834,070"
09/26/2022,"70.75","71.15","68.25","69.40","50,013,000"
09/23/2022,"71.55","73.05","70.50","70.85","69,697,055"
09/22/2022,"69.95","72.15","69.15","71.30","67,209,250"
09/21/2022,"71.80","72.35","68.50","69.75","71,619,727"
09/20/2022,"69.95","72.45","68.00","72.45","68,398,523"
09/19/2022,"74.40","74.55","68.75","68.75","43,864,910"
09/16/2022,"74.45","75.35","73.80","73.95","52,329,871"
09/15/2022,"74.55","76.50","73.65","74.15","89,923,938"
09/14/2022,"71.10","74.30","69.40","74.30","83,172,000"
09/13/2022,"75.60","78.60","71.10","71.10","140,870,203"
09/12/2022,"73.90","75.55","73.15","74.95","95,085,375"
09/09/2022,"73.50","75.00","72.25","73.40","89,194,016"
09/08/2022,"75.90","76.05","72.20","73.00","126,693,508"
09/07/2022,"73.95","76.10","73.15","74.70","114,680,492"
09/06/2022,"75.70","75.75","72.60","73.65","84,318,961"
09/05/2022,"73.10","76.25","72.40","75.15","134,484,297"
09/02/2022,"71.60","72.45","71.05","71.80","67,262,250"
09/01/2022,"73.10","73.10","70.50","71.10","96,247,609"
08/31/2022,"71.00","73.40","70.70","73.10","105,936,898"
08/29/2022,"69.40","70.85","68.50","70.45","86,908,062"
08/26/2022,"70.90","71.15","67.40","69.70","93,635,672"
08/25/2022,"69.30","71.00","68.80","70.30","100,888,797"
08/24/2022,"68.20","71.70","68.10","68.65","158,320,891"
08/23/2022,"67.80","69.05","67.00","67.80","77,832,211"
08/22/2022,"68.50","69.35","67.50","67.75","76,273,648"
08/19/2022,"69.55","70.20","68.15","68.50","78,852,070"
08/18/2022,"68.80","70.05","66.80","69.65","99,352,977"
08/17/2022,"68.00","69.10","66.00","68.70","140,910,406"
08/16/2022,"63.70","68.05","61.70","67.85","144,211,500"
08/15/2022,"62.60","63.65","62.10","63.60","84,075,883"
08/12/2022,"61.85","63.35","61.25","62.40","101,328,602"
08/11/2022,"61.90","62.45","60.10","61.40","136,866,000"
08/10/2022,"58.80","60.35","58.60","60.15","92,599,242"
08/09/2022,"58.75","59.65","57.90","58.60","102,076,602"
08/08/2022,"58.40","59.00","57.60","58.75","87,925,242"
08/05/2022,"55.65","58.40","55.20","58.20","99,647,391"
08/04/2022,"55.70","56.35","55.10","55.30","108,646,797"
08/03/2022,"52.95","55.00","52.80","55.00","133,031,406"
08/02/2022,"51.80","53.20","51.65","52.35","137,217,703"
08/01/2022,"50.75","51.60","50.65","51.50","71,659,508"
07/29/2022,"49.80","50.50","49.52","50.40","62,805,848"
07/28/2022,"50.25","50.75","49.46","49.70","68,121,648"
07/27/2022,"49.26","50.10","49.16","49.70","75,810,781"
07/26/2022,"49.74","50.30","48.86","49.00","83,089,789"
07/25/2022,"50.05","50.45","49.44","49.54","80,665,367"
07/22/2022,"51.75","52.00","49.20","50.05","72,541,281"
07/21/2022,"51.40","52.10","51.05","51.60","86,215,469"
07/20/2022,"51.25","51.75","50.25","51.35","89,483,219"
07/19/2022,"49.76","51.30","49.58","51.10","92,868,805"
07/18/2022,"49.00","49.98","48.38","49.98","89,994,961"
07/14/2022,"49.12","49.60","47.70","47.94","124,089,398"
07/13/2022,"50.30","51.00","48.52","49.20","71,590,336"
07/08/2022,"49.06","49.64","48.92","49.54","27,645,561"
07/07/2022,"48.52","49.36","48.14","49.20","78,805,445"
07/06/2022,"47.34","48.94","47.10","48.42","120,911,000"
07/05/2022,"47.80","48.16","46.50","47.00","94,256,922"
07/04/2022,"49.68","49.80","47.62","47.68","61,893,680"
07/01/2022,"47.22","49.46","46.82","49.30","113,167,000"
06/30/2022,"45.94","47.24","45.56","46.80","113,324,398"
06/29/2022,"48.06","48.46","46.18","46.18","106,182,094"
06/28/2022,"49.86","49.98","48.04","48.04","123,077,102"
06/27/2022,"49.10","50.50","49.08","49.56","103,717,102"
06/24/2022,"51.00","51.45","48.96","50.25","119,022,602"
06/23/2022,"52.05","52.35","50.55","50.55","64,744,078"
06/22/2022,"51.55","52.90","51.25","52.05","100,981,000"
06/21/2022,"50.95","52.35","50.25","51.90","88,236,477"
06/20/2022,"49.14","51.00","48.72","50.85","149,379,203"
06/17/2022,"47.48","48.18","47.16","48.18","94,259,992"
06/16/2022,"48.40","48.76","46.90","47.34","109,612,398"
06/15/2022,"46.98","48.96","46.66","48.44","123,233,508"
06/14/2022,"47.30","47.80","46.60","46.86","97,528,086"
06/13/2022,"46.50","47.70","46.22","47.00","122,246,203"
06/10/2022,"47.90","48.66","46.70","46.70","127,376,000"
06/09/2022,"46.74","48.40","45.52","48.34","187,534,891"
06/08/2022,"50.10","50.35","46.28","46.72","139,605,703"
06/07/2022,"48.04","49.20","47.54","48.46","138,210,891"
06/06/2022,"48.18","48.80","47.42","47.86","105,292,703"
06/03/2022,"49.88","49.88","47.92","47.98","83,285,398"
06/02/2022,"49.48","50.35","49.14","49.60","83,598,078"
06/01/2022,"49.76","51.10","49.26","49.26","81,121,883"
05/31/2022,"50.70","51.00","48.78","49.90","187,987,594"
05/30/2022,"45.78","49.52","45.72","49.52","122,233,297"
05/27/2022,"44.46","45.36","44.24","45.02","109,464,094"
05/26/2022,"42.68","44.56","42.58","44.46","139,728,094"
05/25/2022,"42.30","42.68","41.68","42.66","81,016,320"
05/24/2022,"43.10","43.20","42.10","42.16","73,428,438"
05/23/2022,"43.06","43.20","42.60","42.96","83,693,555"
05/20/2022,"42.28","43.04","42.26","42.86","65,503,000"
05/18/2022,"42.08","42.60","41.48","42.40","116,550,398"
05/17/2022,"42.98","43.08","41.96","42.08","94,996,008"
05/16/2022,"42.48","43.30","42.30","42.72","114,672,305"
05/13/2022,"42.76","42.82","41.86","42.48","91,223,477"
05/12/2022,"41.74","42.10","40.48","41.86","133,993,000"
05/11/2022,"42.30","42.82","41.58","42.20","85,463,117"
05/10/2022,"42.74","42.88","42.14","42.20","65,902,891"
05/09/2022,"42.40","43.20","42.24","42.30","83,540,195"
05/06/2022,"42.46","42.78","41.86","42.38","82,857,891"
05/05/2022,"41.98","42.82","41.82","42.68","78,066,414"
04/29/2022,"40.78","41.62","40.30","41.26","133,329,703"
04/28/2022,"41.50","41.78","40.38","40.50","163,152,984"
04/27/2022,"39.36","40.52","38.44","40.50","148,546,891"
04/26/2022,"40.02","41.24","38.64","39.10","179,027,906"
04/25/2022,"39.70","40.06","38.86","39.60","125,186,398"
04/22/2022,"40.02","41.44","39.28","39.74","189,178,000"
04/21/2022,"38.88","40.24","38.62","40.18","124,589,203"
04/20/2022,"38.82","39.58","38.56","38.86","105,396,203"
04/19/2022,"37.82","38.76","37.48","38.76","126,211,398"
04/18/2022,"37.98","38.06","37.50","37.64","63,830,391"
04/15/2022,"37.36","37.96","37.24","37.74","64,159,672"
04/14/2022,"37.70","38.14","36.82","37.36","134,077,406"
04/13/2022,"37.50","37.54","36.28","36.98","114,089,797"
04/12/2022,"36.26","37.50","36.12","37.24","158,505,406"
04/11/2022,"35.36","36.96","35.14","36.16","166,140,094"
04/08/2022,"35.80","35.84","34.96","35.32","96,532,117"
04/07/2022,"34.88","35.64","34.38","35.62","114,955,398"
04/06/2022,"35.00","35.08","34.26","34.62","133,058,000"
04/05/2022,"33.76","35.26","33.60","34.50","178,292,797"
04/04/2022,"32.88","33.48","32.74","33.46","99,340,117"
04/01/2022,"32.48","33.22","32.36","32.78","100,110,602"
03/31/2022,"32.34","32.88","32.00","32.26","144,597,797"
03/30/2022,"31.62","32.26","31.18","32.18","167,451,109"
03/29/2022,"29.38","31.80","29.26","31.64","233,339,203"
03/28/2022,"28.46","29.24","28.46","29.06","141,675,500"
03/25/2022,"28.30","28.40","27.98","28.16","59,122,199"
03/24/2022,"28.22","28.50","27.92","28.12","78,151,914"
03/23/2022,"28.64","28.74","28.10","28.10","84,446,648"
03/22/2022,"27.92","28.64","27.88","28.52","134,642,094"
03/21/2022,"27.90","28.10","27.76","27.92","76,644,727"
03/18/2022,"27.88","28.32","27.64","27.72","103,196,797"
03/17/2022,"28.00","28.12","27.74","27.86","92,332,172"
03/16/2022,"27.84","28.26","27.58","27.70","145,127,906"
03/15/2022,"26.68","27.96","26.34","27.66","188,091,203"
03/14/2022,"26.60","26.92","26.48","26.62","111,046,797"
03/11/2022,"25.72","26.94","25.62","26.42","255,068,188"
03/10/2022,"26.54","26.80","25.68","25.74","139,759,812"
03/09/2022,"25.90","26.48","25.80","26.14","215,513,406"
03/08/2022,"25.52","26.28","25.28","25.30","188,530,703"
03/07/2022,"24.90","26.08","24.50","25.90","153,503,297"
03/04/2022,"25.66","25.88","25.16","25.30","80,697,797"
03/03/2022,"26.26","26.50","25.76","25.94","135,266,500"
03/02/2022,"25.26","26.20","25.00","25.98","193,446,594"
03/01/2022,"26.42","26.68","24.70","25.26","183,981,109"
02/28/2022,"26.44","27.14","25.44","25.62","179,216,703"
02/25/2022,"25.16","27.54","23.92","27.30","255,281,203"
02/24/2022,"25.30","25.90","25.28","25.28","58,637,910"
02/23/2022,"29.08","29.18","28.08","28.08","108,544,398"
02/22/2022,"28.58","29.18","28.28","28.88","140,227,500"
02/21/2022,"29.90","30.04","28.92","29.44","177,076,984"
02/18/2022,"29.24","29.60","28.64","29.40","133,787,703"
02/17/2022,"29.70","30.44","28.62","28.74","232,337,906"
02/16/2022,"30.08","30.22","29.52","29.60","133,323,000"
02/15/2022,"28.74","30.02","28.54","29.96","226,724,188"
02/14/2022,"28.96","29.44","28.12","28.60","221,304,188"
02/11/2022,"29.58","30.48","28.30","29.62","269,663,000"
02/10/2022,"29.90","30.02","29.38","29.80","119,101,602"
02/09/2022,"28.98","30.02","28.80","29.84","157,891,203"
02/08/2022,"28.24","29.06","27.92","28.78","154,126,797"
02/07/2022,"26.70","28.26","26.18","28.26","149,072,984"
02/04/2022,"27.18","27.32","26.60","26.66","92,538,047"
02/03/2022,"27.78","28.38","26.88","27.02","107,724,797"
02/02/2022,"28.42","28.72","27.66","27.80","83,815,281"
02/01/2022,"29.04","29.20","28.18","28.32","77,844,477"
01/31/2022,"28.72","29.06","28.24","28.72","109,830,203"
01/28/2022,"28.76","29.44","28.00","28.16","152,191,812"
01/27/2022,"26.86","28.78","26.72","28.64","208,306,000"
01/26/2022,"26.20","27.90","26.20","27.22","152,714,203"
01/25/2022,"26.42","26.62","25.28","26.12","152,376,891"
01/24/2022,"27.14","28.16","25.86","26.02","205,639,906"
01/21/2022,"28.20","28.34","26.90","27.50","114,612,094"
01/20/2022,"27.96","28.66","27.32","28.10","168,388,000"
01/19/2022,"26.50","27.62","26.14","27.40","162,000,609"
01/18/2022,"28.28","28.56","26.88","26.88","113,983,203"
01/17/2022,"28.44","28.72","28.12","28.28","97,173,453"
01/14/2022,"28.80","29.30","27.88","28.22","147,006,094"
01/13/2022,"26.80","28.94","26.78","28.78","176,333,594"
01/12/2022,"27.38","27.42","26.78","26.88","104,750,703"
01/11/2022,"27.30","27.68","26.22","26.90","177,252,094"
01/10/2022,"25.38","27.38","25.02","26.70","166,191,016"
01/07/2022,"25.24","25.58","24.02","24.94","117,635,203"
01/06/2022,"23.62","25.36","23.62","24.86","145,559,812"
01/05/2022,"22.10","24.12","22.10","23.90","124,793,398"
01/04/2022,"21.90","23.42","21.76","22.80","139,700,797"
01/03/2022,"20.18","21.88","19.83","21.84","95,392,156"
12/31/2021,"20.30","20.98","19.74","20.02","64,484,152"
12/30/2021,"21.42","21.50","20.02","20.14","78,655,203"
12/29/2021,"20.08","21.66","19.76","21.08","79,161,125"
12/28/2021,"20.86","21.14","19.88","20.48","63,468,594"
12/27/2021,"21.04","21.72","20.54","20.78","107,676,203"
12/24/2021,"19.30","21.12","19.12","21.12","96,687,211"
12/23/2021,"19.50","19.62","18.05","19.21","98,045,453"
12/22/2021,"19.80","20.56","18.50","18.88","123,793,906"
12/21/2021,"22.54","23.48","19.93","19.93","81,910,562"
12/20/2021,"21.24","23.48","20.36","22.14","108,173,797"
12/17/2021,"25.62","26.66","22.62","22.62","193,190,406"
12/16/2021,"23.82","25.12","23.32","25.12","151,817,406"
12/15/2021,"22.74","24.36","22.64","23.48","211,139,703"
12/14/2021,"22.80","23.12","22.36","22.58","113,878,203"
12/13/2021,"22.26","22.98","21.88","22.64","140,080,094"
12/10/2021,"22.56","23.12","21.90","22.24","237,428,406"
12/09/2021,"20.62","22.40","20.42","22.00","233,237,797"
12/08/2021,"19.30","20.62","19.30","20.38","251,748,406"
12/07/2021,"19.34","19.47","19.13","19.20","102,908,000"
12/06/2021,"18.70","18.80","18.38","18.69","96,347,344"
12/03/2021,"18.86","19.35","18.50","18.53","185,039,812"
12/02/2021,"18.41","18.66","18.04","18.25","121,398,602"
12/01/2021,"17.45","18.81","17.41","18.41","190,881,203"
11/30/2021,"17.00","17.44","16.85","17.22","111,917,508"
